Column1,Column2
https://bblais.github.io/unbelievable-project-miracles-and-healing-is-it-evidence-for-the-truth-of-christianity.html,https://bblais.github.io/posts/2013/Mar/18/unbelievable-project-miracles-and-healing-is-it-evidence-for-the-truth-of-christianity
https://bblais.github.io/proof-that-god-exists.html,https://bblais.github.io/posts/2013/Mar/21/proof-that-god-exists
https://bblais.github.io/a-funny-little-probability-problem-4.html,https://bblais.github.io/posts/2013/Mar/23/a-funny-little-probability-problem-4
https://bblais.github.io/a-funny-little-probability-problem-4,https://bblais.github.io/posts/2013/Mar/23/a-funny-little-probability-problem-4
https://bblais.github.io/a-funny-little-probability-problem-correct.html,https://bblais.github.io/posts/2013/Mar/23/a-funny-little-probability-problem-correct
https://bblais.github.io/a-funny-little-probability-problem-correct,https://bblais.github.io/posts/2013/Mar/23/a-funny-little-probability-problem-correct
https://bblais.github.io/a-funny-little-probability-problem-some-closure.html,https://bblais.github.io/posts/2013/Mar/25/a-funny-little-probability-problem-some-closure
https://bblais.github.io/design-the-origin-of-life-and-creationism.html,https://bblais.github.io/posts/2013/May/06/design-the-origin-of-life-and-creationism
https://bblais.github.io/creationist-math.html,https://bblais.github.io/posts/2013/May/10/creationist-math
https://bblais.github.io/a-little-about-miracles.html,https://bblais.github.io/posts/2013/May/21/a-little-about-miracles
https://bblais.github.io/star-trek-and-storytelling.html,https://bblais.github.io/posts/2013/May/30/star-trek-and-storytelling
https://bblais.github.io/science-as-entertainment.html,https://bblais.github.io/posts/2013/Nov/12/science-as-entertainment
https://bblais.github.io/the-trinity-and-coherency.html,https://bblais.github.io/posts/2013/Nov/19/the-trinity-and-coherency
https://bblais.github.io/life-meaning-and-entropy.html,https://bblais.github.io/posts/2013/Nov/21/life-meaning-and-entropy
https://bblais.github.io/nobel-prize-the-higgs-and-predictions.html,https://bblais.github.io/posts/2013/Oct/09/nobel-prize-the-higgs-and-predictions
https://bblais.github.io/knowledge-faith-and-belief.html,https://bblais.github.io/posts/2013/Oct/24/knowledge-faith-and-belief
https://bblais.github.io/god-in-the-head.html,https://bblais.github.io/posts/2013/Sep/02/god-in-the-head
